prod	tempo	blocos	ufc
1	30	1	5.9
1	30	2	5.9
1	30	3	6.7
1	30	4	6.5
1	30	5	5.9
1	35	1	5.9
1	35	2	6.1
1	35	3	5.8
1	35	4	6.3
1	35	5	5.5
1	40	1	5.7
1	40	2	6.1
1	40	3	6.2
1	40	4	5.4
1	40	5	5.2
1	45	1	5.2
1	45	2	4.6
1	45	3	5.5
1	45	4	6.6
1	45	5	4.6
1	50	1	6.2
1	50	2	6.1
1	50	3	6.6
1	50	4	7.2
1	50	5	5.5
2	30	1	6.4
2	30	2	7
2	30	3	5.6
2	30	4	8
2	30	5	7.2
2	35	1	4.4
2	35	2	6.3
2	35	3	7.3
2	35	4	6.5
2	35	5	4.6
2	40	1	3.7
2	40	2	6.3
2	40	3	7.9
2	40	4	6.9
2	40	5	6.4
2	45	1	4.9
2	45	2	5.9
2	45	3	6.1
2	45	4	7.3
2	45	5	7.1
2	50	1	4.3
2	50	2	6.9
2	50	3	7.2
2	50	4	5.9
2	50	5	5.5
3	30	1	3.8
3	30	2	5.4
3	30	3	5.8
3	30	4	4.4
3	30	5	3.2
3	35	1	4.8
3	35	2	4.7
3	35	3	3
3	35	4	3.9
3	35	5	2.8
3	40	1	4.5
3	40	2	2
3	40	3	3
3	40	4	2.7
3	40	5	1.6
3	45	1	4.4
3	45	2	2.8
3	45	3	4.2
3	45	4	4.3
3	45	5	2.6
3	50	1	3.2
3	50	2	3.2
3	50	3	3.7
3	50	4	3.8
3	50	5	2.9
